SemestreLetivo;Formato;Curso;TotalGeral
2008/2;PRESENCIAL;ARQUITETURA E URBANISMO-ARQ;36
2009/1;PRESENCIAL;ARQUITETURA E URBANISMO-ARQ;68
2009/2;PRESENCIAL;ARQUITETURA E URBANISMO-ARQ;105
2010/1;PRESENCIAL;ARQUITETURA E URBANISMO-ARQ;145
2010/2;PRESENCIAL;ARQUITETURA E URBANISMO-ARQ;177
2011/1;PRESENCIAL;ARQUITETURA E URBANISMO-ARQ;209
2011/2;PRESENCIAL;ARQUITETURA E URBANISMO-ARQ;236
2012/1;PRESENCIAL;ARQUITETURA E URBANISMO-ARQ;272
2012/2;PRESENCIAL;ARQUITETURA E URBANISMO-ARQ;309
2013/1;PRESENCIAL;ARQUITETURA E URBANISMO-ARQ;339
2013/2;PRESENCIAL;ARQUITETURA E URBANISMO-ARQ;383
2014/1;PRESENCIAL;ARQUITETURA E URBANISMO-ARQ;392
2014/2;PRESENCIAL;ARQUITETURA E URBANISMO-ARQ;400
2015/1;PRESENCIAL;ARQUITETURA E URBANISMO-ARQ;402
2015/2;PRESENCIAL;ARQUITETURA E URBANISMO-ARQ;409
2016/1;PRESENCIAL;ARQUITETURA E URBANISMO-ARQ;414
2016/2;PRESENCIAL;ARQUITETURA E URBANISMO-ARQ;418
2017/1;PRESENCIAL;ARQUITETURA E URBANISMO-ARQ;391
2017/2;PRESENCIAL;ARQUITETURA E URBANISMO-ARQ;386
2018/1;PRESENCIAL;ARQUITETURA E URBANISMO-ARQ;384
2018/2;PRESENCIAL;ARQUITETURA E URBANISMO-ARQ;378
2019/1;PRESENCIAL;ARQUITETURA E URBANISMO-ARQ;366
2003/1;PRESENCIAL;ENGENHARIA AMBIENTAL-AMB;94
2003/2;PRESENCIAL;ENGENHARIA AMBIENTAL-AMB;123
2004/1;PRESENCIAL;ENGENHARIA AMBIENTAL-AMB;122
2004/2;PRESENCIAL;ENGENHARIA AMBIENTAL-AMB;151
2005/1;PRESENCIAL;ENGENHARIA AMBIENTAL-AMB;151
2005/2;PRESENCIAL;ENGENHARIA AMBIENTAL-AMB;161
2006/1;PRESENCIAL;ENGENHARIA AMBIENTAL-AMB;151
2006/2;PRESENCIAL;ENGENHARIA AMBIENTAL-AMB;161
2007/1;PRESENCIAL;ENGENHARIA AMBIENTAL-AMB;147
2007/2;PRESENCIAL;ENGENHARIA AMBIENTAL-AMB;167
2008/1;PRESENCIAL;ENGENHARIA AMBIENTAL-AMB;144
2008/2;PRESENCIAL;ENGENHARIA AMBIENTAL-AMB;170
2009/1;PRESENCIAL;ENGENHARIA AMBIENTAL-AMB;151
2009/2;PRESENCIAL;ENGENHARIA AMBIENTAL-AMB;182
2010/1;PRESENCIAL;ENGENHARIA AMBIENTAL-AMB;165
2010/2;PRESENCIAL;ENGENHARIA AMBIENTAL-AMB;187
2011/1;PRESENCIAL;ENGENHARIA AMBIENTAL-AMB;161
2011/2;PRESENCIAL;ENGENHARIA AMBIENTAL-AMB;190
2012/1;PRESENCIAL;ENGENHARIA AMBIENTAL-AMB;172
2012/2;PRESENCIAL;ENGENHARIA AMBIENTAL-AMB;182
2013/1;PRESENCIAL;ENGENHARIA AMBIENTAL-AMB;164
2013/2;PRESENCIAL;ENGENHARIA AMBIENTAL-AMB;178
2014/1;PRESENCIAL;ENGENHARIA AMBIENTAL-AMB;165
2014/2;PRESENCIAL;ENGENHARIA AMBIENTAL-AMB;190
2015/1;PRESENCIAL;ENGENHARIA AMBIENTAL-AMB;156
2015/2;PRESENCIAL;ENGENHARIA AMBIENTAL-AMB;199
2016/1;PRESENCIAL;ENGENHARIA AMBIENTAL-AMB;170
2016/2;PRESENCIAL;ENGENHARIA AMBIENTAL-AMB;189
2017/1;PRESENCIAL;ENGENHARIA AMBIENTAL-AMB;164
2017/2;PRESENCIAL;ENGENHARIA AMBIENTAL-AMB;185
2018/1;PRESENCIAL;ENGENHARIA AMBIENTAL-AMB;156
2018/2;PRESENCIAL;ENGENHARIA AMBIENTAL-AMB;181
2019/1;PRESENCIAL;ENGENHARIA AMBIENTAL-AMB;163
2003/1;PRESENCIAL;ENGENHARIA CIVIL-CIV;290
2003/2;PRESENCIAL;ENGENHARIA CIVIL-CIV;288
2004/1;PRESENCIAL;ENGENHARIA CIVIL-CIV;282
2004/2;PRESENCIAL;ENGENHARIA CIVIL-CIV;310
2005/1;PRESENCIAL;ENGENHARIA CIVIL-CIV;307
2005/2;PRESENCIAL;ENGENHARIA CIVIL-CIV;310
2006/1;PRESENCIAL;ENGENHARIA CIVIL-CIV;287
2006/2;PRESENCIAL;ENGENHARIA CIVIL-CIV;289
2007/1;PRESENCIAL;ENGENHARIA CIVIL-CIV;288
2007/2;PRESENCIAL;ENGENHARIA CIVIL-CIV;291
2008/1;PRESENCIAL;ENGENHARIA CIVIL-CIV;279
2008/2;PRESENCIAL;ENGENHARIA CIVIL-CIV;292
2009/1;PRESENCIAL;ENGENHARIA CIVIL-CIV;285
2009/2;PRESENCIAL;ENGENHARIA CIVIL-CIV;293
2010/1;PRESENCIAL;ENGENHARIA CIVIL-CIV;303
2010/2;PRESENCIAL;ENGENHARIA CIVIL-CIV;320
2011/1;PRESENCIAL;ENGENHARIA CIVIL-CIV;326
2011/2;PRESENCIAL;ENGENHARIA CIVIL-CIV;334
2012/1;PRESENCIAL;ENGENHARIA CIVIL-CIV;334
2012/2;PRESENCIAL;ENGENHARIA CIVIL-CIV;341
2013/1;PRESENCIAL;ENGENHARIA CIVIL-CIV;365
2013/2;PRESENCIAL;ENGENHARIA CIVIL-CIV;362
2014/1;PRESENCIAL;ENGENHARIA CIVIL-CIV;369
2014/2;PRESENCIAL;ENGENHARIA CIVIL-CIV;369
2015/1;PRESENCIAL;ENGENHARIA CIVIL-CIV;368
2015/2;PRESENCIAL;ENGENHARIA CIVIL-CIV;373
2016/1;PRESENCIAL;ENGENHARIA CIVIL-CIV;374
2016/2;PRESENCIAL;ENGENHARIA CIVIL-CIV;381
2017/1;PRESENCIAL;ENGENHARIA CIVIL-CIV;367
2017/2;PRESENCIAL;ENGENHARIA CIVIL-CIV;357
2018/1;PRESENCIAL;ENGENHARIA CIVIL-CIV;351
2018/2;PRESENCIAL;ENGENHARIA CIVIL-CIV;345
2019/1;PRESENCIAL;ENGENHARIA CIVIL-CIV;351
2003/1;PRESENCIAL;ENGENHARIA DE CONTROLE E AUTOMACAO-AUT;83
2003/2;PRESENCIAL;ENGENHARIA DE CONTROLE E AUTOMACAO-AUT;113
2004/1;PRESENCIAL;ENGENHARIA DE CONTROLE E AUTOMACAO-AUT;112
2004/2;PRESENCIAL;ENGENHARIA DE CONTROLE E AUTOMACAO-AUT;148
2005/1;PRESENCIAL;ENGENHARIA DE CONTROLE E AUTOMACAO-AUT;146
