,ANO,CURSO,Evadidos,Matriculados,Evasoes a cada 100 alunos
0,2003,AMB,2,217,0.92
1,2003,AUT,9,196,4.59
2,2003,CIV,10,578,1.73
3,2003,GEO,11,451,2.44
4,2003,MET,4,468,0.85
5,2003,MIN,1,459,0.22
6,2003,PRO,4,456,0.88
7,2004,AMB,4,273,1.47
8,2004,AUT,8,260,3.08
9,2004,CIV,24,592,4.05
10,2004,GEO,14,458,3.06
11,2004,MET,13,465,2.8
12,2004,MIN,8,481,1.66
13,2004,PRO,10,430,2.33
14,2005,AMB,3,312,0.96
15,2005,AUT,6,295,2.03
16,2005,CIV,20,617,3.24
17,2005,GEO,14,445,3.15
18,2005,MET,9,462,1.95
19,2005,MIN,13,475,2.74
20,2005,PRO,7,425,1.65
21,2006,AMB,9,312,2.88
22,2006,AUT,15,305,4.92
23,2006,CIV,20,576,3.47
24,2006,GEO,9,470,1.91
25,2006,MET,7,469,1.49
26,2006,MIN,5,480,1.04
27,2006,PRO,9,424,2.12
28,2007,AMB,2,314,0.64
29,2007,AUT,3,323,0.93
30,2007,CIV,20,579,3.45
31,2007,GEO,8,494,1.62
32,2007,MET,7,483,1.45
33,2007,MIN,7,498,1.41
34,2007,PRO,8,408,1.96
35,2008,AMB,9,314,2.87
36,2008,AUT,9,317,2.84
37,2008,CIV,12,571,2.1
38,2008,GEO,9,514,1.75
39,2008,MET,8,496,1.61
40,2008,MIN,6,523,1.15
41,2008,PRO,5,387,1.29
42,2009,AMB,11,333,3.3
43,2009,ARQ,7,173,4.05
44,2009,AUT,13,391,3.32
45,2009,CIV,19,578,3.29
46,2009,GEO,7,568,1.23
47,2009,MEC,3,104,2.88
48,2009,MET,6,566,1.06
49,2009,MIN,9,573,1.57
50,2009,PRO,15,455,3.3
51,2010,AMB,8,352,2.27
52,2010,ARQ,11,322,3.42
53,2010,AUT,20,460,4.35
54,2010,CIV,15,623,2.41
55,2010,GEO,13,611,2.13
56,2010,MEC,10,242,4.13
57,2010,MET,13,616,2.11
58,2010,MIN,21,609,3.45
59,2010,PRO,13,494,2.63
60,2011,AMB,19,351,5.41
61,2011,ARQ,25,445,5.62
62,2011,AUT,17,557,3.05
63,2011,CIV,19,660,2.88
64,2011,GEO,10,656,1.52
65,2011,MEC,17,381,4.46
66,2011,MET,16,657,2.44
67,2011,MIN,8,641,1.25
68,2011,PRO,16,584,2.74
69,2012,AMB,15,354,4.24
70,2012,ARQ,29,581,4.99
71,2012,AUT,32,626,5.11
72,2012,CIV,27,675,4.0
73,2012,GEO,17,714,2.38
74,2012,MEC,33,503,6.56
75,2012,MET,31,670,4.63
76,2012,MIN,26,686,3.79
77,2012,PRO,23,677,3.4
78,2013,AMB,19,342,5.56
79,2013,ARQ,24,722,3.32
80,2013,AUT,38,678,5.6
81,2013,CIV,23,727,3.16
82,2013,GEO,18,719,2.5
83,2013,MEC,26,639,4.07
84,2013,MET,34,695,4.89
85,2013,MIN,23,718,3.2
86,2013,PRO,29,717,4.04
87,2014,AMB,14,355,3.94
88,2014,ARQ,28,792,3.54
89,2014,AUT,42,711,5.91
90,2014,CIV,19,738,2.57
91,2014,GEO,19,739,2.57
92,2014,MEC,34,724,4.7
93,2014,MET,42,695,6.04
94,2014,MIN,23,717,3.21
95,2014,PRO,19,729,2.61
96,2015,AMB,24,355,6.76
97,2015,ARQ,24,811,2.96
98,2015,AUT,36,712,5.06
99,2015,CIV,29,741,3.91
100,2015,GEO,31,752,4.12
101,2015,MEC,37,726,5.1
102,2015,MET,60,687,8.73
103,2015,MIN,30,738,4.07
104,2015,PRO,32,762,4.2
105,2016,AMB,26,359,7.24
106,2016,ARQ,25,832,3.0
107,2016,AUT,40,726,5.51
108,2016,CIV,25,755,3.31
109,2016,GEO,28,769,3.64
110,2016,MEC,29,747,3.88
111,2016,MET,72,684,10.53
112,2016,MIN,21,729,2.88
113,2016,PRO,33,757,4.36
114,2017,AMB,21,349,6.02
115,2017,ARQ,10,777,1.29
116,2017,AUT,25,724,3.45
117,2017,CIV,24,724,3.31
118,2017,GEO,31,750,4.13
119,2017,MEC,23,733,3.14
120,2017,MET,69,633,10.9
121,2017,MIN,20,716,2.79
122,2017,PRO,29,713,4.07
123,2018,AMB,33,337,9.79
124,2018,ARQ,27,762,3.54
125,2018,AUT,29,741,3.91
126,2018,CIV,26,696,3.74
127,2018,GEO,18,742,2.43
128,2018,MEC,24,719,3.34
129,2018,MET,77,628,12.26
130,2018,MIN,29,741,3.91
131,2018,PRO,29,712,4.07
132,2019,AMB,15,163,9.2
133,2019,ARQ,13,366,3.55
134,2019,AUT,18,370,4.86
135,2019,CIV,17,351,4.84
136,2019,GEO,16,378,4.23
137,2019,MEC,8,361,2.22
138,2019,MET,27,298,9.06
139,2019,MIN,11,356,3.09
140,2019,PRO,11,364,3.02
