Ano;Semestre;Campus;Unidade Acadêmica;Descrição Curso;Descrição Habilitação;Formato;Diplomados
2017;2;MARIANA;INSTITUTO DE CIENCIAS SOCIAIS APLICADAS;ADMINISTRACAO-ADM;;PRESENCIAL;33
2017;2;OURO PRETO;CENTRO DE EDUCACAO ABERTA E A DISTANCIA;ADMINISTRACAO PUBLICA-D06;;DISTANCIA;26
2017;2;OURO PRETO;ESCOLA DE MINAS;ARQUITETURA E URBANISMO-ARQ;;PRESENCIAL;28
2017;2;OURO PRETO;INSTITUTO DE FILOSOFIA, ARTES E CULTURA;ARTES CENICAS-ACB;DIRECAO TEATRAL;PRESENCIAL;3
2017;2;OURO PRETO;INSTITUTO DE FILOSOFIA, ARTES E CULTURA;ARTES CENICAS-ACB;INTERPRETACAO;PRESENCIAL;2
2017;2;OURO PRETO;INSTITUTO DE FILOSOFIA, ARTES E CULTURA;ARTES CENICAS-ACL;;PRESENCIAL;6
2017;2;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;CIENCIA DA COMPUTACAO-COM;;PRESENCIAL;15
2017;2;OURO PRETO;ESCOLA DE NUTRICAO;CIENCIA E TECNOLOGIA DE ALIMENTOS-ALI;;PRESENCIAL;5
2017;2;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;CIENCIAS BIOLOGICAS-CBB;;PRESENCIAL;6
2017;2;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;CIENCIAS BIOLOGICAS-CBL;;PRESENCIAL;11
2017;2;MARIANA;INSTITUTO DE CIENCIAS SOCIAIS APLICADAS;CIENCIAS ECONOMICAS-ECO;;PRESENCIAL;34
2017;2;OURO PRETO;ESCOLA DE DIREITO, TURISMO E MUSEOLOGIA;DIREITO-DIR;;PRESENCIAL;33
2017;2;OURO PRETO;REITORIA;EDUCACAO FISICA-EFB;;PRESENCIAL;15
2017;2;OURO PRETO;REITORIA;EDUCACAO FISICA-EFL;;PRESENCIAL;10
2017;2;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA AMBIENTAL-AMB;;PRESENCIAL;13
2017;2;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA CIVIL-CIV;;PRESENCIAL;34
2017;2;JOÃO MONLEVADE;INSTITUTO DE CIENCIAS EXATAS E APLICADAS;ENGENHARIA DE COMPUTACAO-CJM;;PRESENCIAL;8
2017;2;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA DE CONTROLE E AUTOMACAO-AUT;;PRESENCIAL;21
2017;2;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA DE MINAS-MIN;;PRESENCIAL;21
2017;2;JOÃO MONLEVADE;INSTITUTO DE CIENCIAS EXATAS E APLICADAS;ENGENHARIA DE PRODUCAO-PJM;;PRESENCIAL;23
2017;2;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA DE PRODUCAO-PRO;;PRESENCIAL;35
2017;2;JOÃO MONLEVADE;INSTITUTO DE CIENCIAS EXATAS E APLICADAS;ENGENHARIA ELETRICA-EJM;;PRESENCIAL;24
2017;2;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA GEOLOGICA-GEO;;PRESENCIAL;17
2017;2;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA MECANICA-MEC;;PRESENCIAL;24
