,ANO,EVADIDOS,matriculados,Taxa_de_Evasao,CURSO
7,2010,13,616,0.021103896103896104,MET
8,2011,16,657,0.0243531202435312,MET
9,2012,31,670,0.04626865671641791,MET
10,2013,34,695,0.04892086330935252,MET
11,2014,42,695,0.060431654676258995,MET
12,2015,60,687,0.08733624454148471,MET
13,2016,72,684,0.10526315789473684,MET
14,2017,69,633,0.10900473933649289,MET
15,2018,77,628,0.12261146496815287,MET
16,2019,27,298,0.09060402684563758,MET
1,2010,10,242,0.04132231404958678,MEC
2,2011,17,381,0.04461942257217848,MEC
3,2012,33,503,0.06560636182902585,MEC
4,2013,26,639,0.0406885758998435,MEC
5,2014,34,724,0.04696132596685083,MEC
6,2015,37,726,0.05096418732782369,MEC
7,2016,29,747,0.038821954484605084,MEC
8,2017,23,733,0.03137789904502047,MEC
9,2018,24,719,0.03337969401947149,MEC
10,2019,8,361,0.0221606648199446,MEC
7,2010,13,611,0.02127659574468085,GEO
8,2011,10,656,0.01524390243902439,GEO
9,2012,17,714,0.023809523809523808,GEO
10,2013,18,719,0.025034770514603615,GEO
11,2014,19,739,0.02571041948579161,GEO
12,2015,31,752,0.041223404255319146,GEO
13,2016,28,769,0.036410923276983094,GEO
14,2017,31,750,0.04133333333333333,GEO
15,2018,18,742,0.02425876010781671,GEO
16,2019,16,378,0.042328042328042326,GEO
7,2010,13,494,0.02631578947368421,PRO
8,2011,16,584,0.0273972602739726,PRO
9,2012,23,677,0.033973412112259974,PRO
10,2013,29,717,0.040446304044630406,PRO
11,2014,19,729,0.02606310013717421,PRO
12,2015,32,762,0.04199475065616798,PRO
13,2016,33,757,0.043593130779392336,PRO
14,2017,29,713,0.04067321178120617,PRO
15,2018,29,712,0.04073033707865169,PRO
16,2019,11,364,0.03021978021978022,PRO
7,2010,21,609,0.034482758620689655,MIN
8,2011,8,641,0.0124804992199688,MIN
9,2012,26,686,0.037900874635568516,MIN
10,2013,23,718,0.03203342618384401,MIN
11,2014,23,717,0.03207810320781032,MIN
12,2015,30,738,0.04065040650406504,MIN
13,2016,21,729,0.02880658436213992,MIN
14,2017,20,716,0.027932960893854747,MIN
15,2018,29,741,0.03913630229419703,MIN
16,2019,11,356,0.03089887640449438,MIN
7,2010,20,460,0.043478260869565216,CAT
8,2011,17,557,0.03052064631956912,CAT
9,2012,32,626,0.051118210862619806,CAT
10,2013,38,678,0.05604719764011799,CAT
11,2014,42,711,0.05907172995780591,CAT
12,2015,36,712,0.05056179775280899,CAT
13,2016,40,726,0.05509641873278237,CAT
14,2017,25,724,0.034530386740331494,CAT
15,2018,29,741,0.03913630229419703,CAT
16,2019,18,370,0.04864864864864865,CAT
7,2010,15,623,0.024077046548956663,CIV
8,2011,19,660,0.02878787878787879,CIV
9,2012,27,675,0.04,CIV
10,2013,23,727,0.03163686382393398,CIV
11,2014,19,738,0.025745257452574527,CIV
12,2015,29,741,0.03913630229419703,CIV
13,2016,25,755,0.033112582781456956,CIV
14,2017,24,724,0.03314917127071823,CIV
15,2018,26,696,0.03735632183908046,CIV
16,2019,17,351,0.04843304843304843,CIV
1,2010,11,322,0.034161490683229816,ARQ
2,2011,25,445,0.056179775280898875,ARQ
3,2012,29,581,0.04991394148020654,ARQ
4,2013,24,722,0.0332409972299169,ARQ
5,2014,28,792,0.03535353535353535,ARQ
6,2015,24,811,0.029593094944512947,ARQ
7,2016,25,832,0.030048076923076924,ARQ
8,2017,10,777,0.01287001287001287,ARQ
9,2018,27,762,0.03543307086614173,ARQ
10,2019,13,366,0.03551912568306011,ARQ
7,2010,8,352,0.022727272727272728,AMB
8,2011,19,351,0.05413105413105413,AMB
9,2012,15,354,0.0423728813559322,AMB
10,2013,19,342,0.05555555555555555,AMB
11,2014,14,355,0.03943661971830986,AMB
12,2015,24,355,0.0676056338028169,AMB
13,2016,26,359,0.07242339832869081,AMB
14,2017,21,349,0.06017191977077364,AMB
15,2018,33,337,0.09792284866468842,AMB
16,2019,15,163,0.09202453987730061,AMB
