,ANO,DISCIPLINA,DESCRICAO,TAXA_DE_APROVACAO
0,2003,CAT107,INSTALACOES INDUSTRIAIS,1.0
1,2003,CAT112,EXPRESSAO GRAFICA I,0.8724999999999999
2,2003,CAT113,EXPRESSAO GRAFICA II,1.0
3,2003,CAT126,SISTEMAS MECANICOS,0.78
4,2003,CAT127,SISTEMAS ELETRICOS,0.95
5,2003,CAT137,SISTEMAS TERMODINAMICOS,0.95
6,2003,CAT301,PLANEJAMENTO INTEGRADO DE RECURSOS,0.0
7,2003,CAT302,SUPRIMENTO E FONTES DE ENERGIA,0.0
8,2003,CAT304,MODELOS ENERGETICOS E PLANEJAMENTO REGIONAL,1.0
9,2003,CAT305,ANALISE E PROJECAO DA DEMANDA DE ENERGIA,1.0
10,2003,CIC107,PROGRAMACAO DE COMPUTADORES I,0.9199999999999999
11,2003,CIC108,PROGRAMACAO DE COMPUTADORES II,0.5275
12,2003,CIC109,ALGORITMOS E ESTRUTURA DE DADOS I,0.77
13,2003,CIC111,MATEMATICA DISCRETA II,0.69
14,2003,CIC170,CALCULO NUMERICO,0.7000000000000001
15,2003,CIC180,CONTROLE DE PROCESSOS POR COMPUTADOR,1.0
16,2003,CIC181,CONTROLE NUMERICO DE SISTEMAS MECANICOS DE PRODUCAO,0.98
17,2003,CIC240,METODOLOGIA DE PROJETO DE SOFTWARE,0.875
18,2003,CIC270,PESQUISA OPERACIONAL I,0.815
19,2003,CIC271,PESQUISA OPERACIONAL II,0.9199999999999999
20,2003,CIC272,INTELIGENCIA COMPUTACIONAL PARA OTIMIZACAO,0.86
21,2003,CIC273,SIMULACAO APLICADA,0.8
22,2003,CIC370,OTIMIZACAO COMBINATORIA,0.8433333333333333
23,2003,CIC373,FLUXO EM REDES,0.78
24,2003,CIC374,PROGRAMACAO DINAMICA,0.4
25,2003,EDU301,METODOS E TECNICAS DE PESQUISA,0.895
26,2003,FIS209,MECANICA CLASSICA,0.59
27,2003,FIS210,FISICA TERMICA,0.7088888888888889
28,2003,FIS211,ELETROMAGNETISMO,0.64625
29,2003,FIS212,ESTRUTURA DA MATERIA,0.7766666666666667
30,2003,FIS213,OSCILACOES E ONDAS,0.7599999999999999
31,2003,FIS214,MECANICA RACIONAL,0.64125
32,2003,FIS215,MECANICA DO CONTINUO,0.98
33,2003,MET247,ENGENHARIA DE PROCESSOS MECANICOS,0.96
34,2003,MET248,PRINCIPIOS DE CIENCIA DOS MATERIAIS,0.98
35,2003,MTM112,INTRODUCAO A ALGEBRA LINEAR,0.5263636363636364
36,2003,MTM122,CALCULO DIFERENCIAL E INTEGRAL I,0.45222222222222225
37,2003,MTM123,CALCULO DIFERENCIAL E INTEGRAL II,0.6061538461538462
38,2003,MTM124,CALCULO DIFERENCIAL E INTEGRAL III,0.7489999999999999
39,2003,MTM125,INTRODUCAO AS EQUACOES DIFERENCIAIS ORDINARIAS,0.5041666666666667
40,2003,MTM131,GEOMETRIA ANALITICA E CALCULO VETORIAL,0.49000000000000005
41,2003,MTM144,METODOS MATEMATICOS DA ENGENHARIA II,0.76
42,2003,MTM151,ESTATISTICA E PROBABILIDADE,0.4763636363636364
43,2003,MTM154,ESTATISTICA APLICADA I,0.545
44,2003,MTM155,ESTATISTICA APLICADA II,0.64
45,2003,PRO100,ENGENHARIA AMBIENTAL,0.96
46,2003,PRO101,INTRODUCAO A ENGENHARIA DE PRODUCAO,0.98
47,2003,PRO102,INTRODUCAO A METODOLOGIA DA PESQUISA,0.98
48,2003,PRO103,PROJETO EM ENGENHARIA DE PRODUCAO I,0.96
49,2003,PRO104,PROJETO EM ENGENHARIA DE PRODUCAO II,0.97
50,2003,PRO210,CONTROLE E GERENCIA DE QUALIDADE,0.94
51,2003,PRO215,PLANEJAMENTO E CONTROLE DA PRODUCAO I,0.98
52,2003,PRO216,PLANEJAMENTO E CONTROLE DE PRODUCAO II,0.96
53,2003,PRO217,PLANEJAMENTO DAS INSTALACOES,1.0
54,2003,PRO219,PROJETO DO PRODUTO,1.0
55,2003,PRO222,CUSTOS INDUSTRIAIS E CONTABILIDADE GERENCIAL,0.97
56,2003,PRO224,ECONOMIA DA ENGENHARIA,0.99
57,2003,PRO227,MICROECONOMIA,0.91
58,2003,PRO229,PRINCIPIOS DE ECONOMIA,0.94
59,2003,PRO230,ENGENHARIA DE METODOS,0.97
60,2003,PRO231,ENGENHARIA DO TRABALHO,0.72
61,2003,PRO233,PSICOLOGIA SOCIAL DAS ORGANIZACOES,0.95
62,2003,PRO234,ORGANIZACAO E AVALIACAO DO TRABALHO,0.94
63,2003,PRO311,GERENCIA DA INOVACAO:A EMPRESA DE BASE TECNOLOGICA,0.895
64,2003,PRO312,GERENCIA DE INFORMACAO,0.84
65,2003,PRO313,GERENCIA DO PROJETO E ENGENHARIA SIMULTANEA,0.8099999999999999
66,2003,PRO314,GERENCIA DE RECURSOS HUMANOS,0.975
67,2003,PRO315,LOGISTICA,0.94
68,2003,PRO318,PLANEJAMENTO ESTRATEGICO,0.9
69,2003,PRO320,ANALISE DE INVESTIMENTOS,0.85
70,2003,PRO321,ADMINISTRACAO FINANCEIRA,0.9533333333333333
71,2003,PRO325,ECONOMIA DE TECNOLOGIA,
72,2003,PRO328,PROJETOS INDUSTRIAIS,
73,2003,PRO332,ETICA E ENGENHARIA DE PRODUCAO,0.835
74,2003,QUI200,QUIMICA GERAL,0.6834374999999999
75,2004,CAT107,INSTALACOES INDUSTRIAIS,1.0
76,2004,CAT112,EXPRESSAO GRAFICA I,0.8539999999999999
77,2004,CAT113,EXPRESSAO GRAFICA II,0.9450000000000001
78,2004,CAT126,SISTEMAS MECANICOS,0.9
79,2004,CAT127,SISTEMAS ELETRICOS,0.94
80,2004,CAT137,SISTEMAS TERMODINAMICOS,0.82
81,2004,CAT301,PLANEJAMENTO INTEGRADO DE RECURSOS,1.0
82,2004,CAT302,SUPRIMENTO E FONTES DE ENERGIA,0.71
83,2004,CAT305,ANALISE E PROJECAO DA DEMANDA DE ENERGIA,
84,2004,CIC107,PROGRAMACAO DE COMPUTADORES I,0.79
85,2004,CIC108,PROGRAMACAO DE COMPUTADORES II,0.782
86,2004,CIC109,ALGORITMOS E ESTRUTURA DE DADOS I,0.355
87,2004,CIC111,MATEMATICA DISCRETA II,0.85
88,2004,CIC170,CALCULO NUMERICO,0.7872727272727272
89,2004,CIC180,CONTROLE DE PROCESSOS POR COMPUTADOR,1.0
90,2004,CIC181,CONTROLE NUMERICO DE SISTEMAS MECANICOS DE PRODUCAO,0.98
91,2004,CIC240,METODOLOGIA DE PROJETO DE SOFTWARE,0.67
92,2004,CIC270,PESQUISA OPERACIONAL I,0.96
93,2004,CIC271,PESQUISA OPERACIONAL II,0.87
94,2004,CIC272,INTELIGENCIA COMPUTACIONAL PARA OTIMIZACAO,0.7
95,2004,CIC273,SIMULACAO APLICADA,0.91
96,2004,CIC370,OTIMIZACAO COMBINATORIA,0.8266666666666667
97,2004,CIC373,FLUXO EM REDES,0.67
98,2004,CIC374,PROGRAMACAO DINAMICA,0.6
99,2004,EDU301,METODOS E TECNICAS DE PESQUISA,0.91125
100,2004,FIS209,MECANICA CLASSICA,0.5791666666666667
101,2004,FIS210,FISICA TERMICA,0.756
102,2004,FIS211,ELETROMAGNETISMO,0.648888888888889
103,2004,FIS212,ESTRUTURA DA MATERIA,0.7766666666666667
104,2004,FIS213,OSCILACOES E ONDAS,0.8042857142857143
105,2004,FIS214,MECANICA RACIONAL,0.6075
106,2004,FIS215,MECANICA DO CONTINUO,0.815
107,2004,MET247,ENGENHARIA DE PROCESSOS MECANICOS,0.9733333333333333
108,2004,MET248,PRINCIPIOS DE CIENCIA DOS MATERIAIS,0.9825
109,2004,MTM112,INTRODUCAO A ALGEBRA LINEAR,0.5216666666666666
110,2004,MTM122,CALCULO DIFERENCIAL E INTEGRAL I,0.49625
111,2004,MTM123,CALCULO DIFERENCIAL E INTEGRAL II,0.5876923076923076
112,2004,MTM124,CALCULO DIFERENCIAL E INTEGRAL III,0.6272727272727272
113,2004,MTM125,INTRODUCAO AS EQUACOES DIFERENCIAIS ORDINARIAS,0.5257142857142857
114,2004,MTM131,GEOMETRIA ANALITICA E CALCULO VETORIAL,0.7084615384615384
115,2004,MTM144,METODOS MATEMATICOS DA ENGENHARIA II,0.85
116,2004,MTM151,ESTATISTICA E PROBABILIDADE,0.5153846153846154
117,2004,MTM154,ESTATISTICA APLICADA I,0.44
118,2004,MTM155,ESTATISTICA APLICADA II,0.86
119,2004,MTM157,CONTROLE ESTATISTICO DE QUALIDADE,0.93
120,2004,PRO100,ENGENHARIA AMBIENTAL,0.95
121,2004,PRO101,INTRODUCAO A ENGENHARIA DE PRODUCAO,0.95
122,2004,PRO103,PROJETO EM ENGENHARIA DE PRODUCAO I,0.98
