,ANO,SEMESTRE,DISCIPLINA,DESCRICAO,TURMA,APROVACOES,MATRICULAS,REPROVACOES FALTA,REPROVACOES NOTA,REPROVACOES NOTA FALTA,TRANCAMENTOS,CONTADOR,REPROVADOS,TAXA_REPROVACAO,ANO/SEMESTRE
107,1998,1.0,PRO101,INTRODUCAO A ENGENHARIA DE PRODUCAO,11.0,32.0,38.0,0.0,0.0,6.0,0.0,1,6.0,0.16,1998.1.0
236,1998,2.0,PRO101,INTRODUCAO A ENGENHARIA DE PRODUCAO,11.0,7.0,9.0,0.0,0.0,2.0,0.0,1,2.0,0.22,1998.2.0
237,1998,2.0,PRO102,INTRODUCAO A METODOLOGIA DA PESQUISA,11.0,39.0,41.0,0.0,0.0,2.0,0.0,1,2.0,0.05,1998.2.0
368,1999,1.0,PRO101,INTRODUCAO A ENGENHARIA DE PRODUCAO,11.0,7.0,7.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1999.1.0
369,1999,1.0,PRO101,INTRODUCAO A ENGENHARIA DE PRODUCAO,21.0,40.0,47.0,0.0,0.0,7.0,0.0,1,7.0,0.15,1999.1.0
370,1999,1.0,PRO102,INTRODUCAO A METODOLOGIA DA PESQUISA,11.0,13.0,15.0,0.0,0.0,2.0,0.0,1,2.0,0.13,1999.1.0
371,1999,1.0,PRO230,ENGENHARIA DE METODOS,11.0,35.0,45.0,0.0,9.0,1.0,0.0,1,10.0,0.22,1999.1.0
372,1999,1.0,PRO302,ACOES EMPREENDEDORAS,11.0,2.0,2.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1999.1.0
537,1999,2.0,PRO102,INTRODUCAO A METODOLOGIA DA PESQUISA,11.0,36.0,39.0,0.0,0.0,3.0,0.0,1,3.0,0.08,1999.2.0
538,1999,2.0,PRO231,ENGENHARIA DO TRABALHO,11.0,30.0,37.0,0.0,5.0,0.0,2.0,1,7.0,0.19,1999.2.0
667,2000,1.0,PRO101,INTRODUCAO A ENGENHARIA DE PRODUCAO,11.0,41.0,46.0,0.0,1.0,3.0,1.0,1,5.0,0.11,2000.1.0
668,2000,1.0,PRO101,INTRODUCAO A ENGENHARIA DE PRODUCAO,12.0,7.0,8.0,0.0,0.0,1.0,0.0,1,1.0,0.12,2000.1.0
669,2000,1.0,PRO102,INTRODUCAO A METODOLOGIA DA PESQUISA,11.0,44.0,51.0,0.0,3.0,3.0,1.0,1,7.0,0.14,2000.1.0
670,2000,1.0,PRO219,PROJETO DO PRODUTO,11.0,27.0,31.0,0.0,4.0,0.0,0.0,1,4.0,0.13,2000.1.0
671,2000,1.0,PRO229,PRINCIPIOS DE ECONOMIA,11.0,23.0,23.0,0.0,0.0,0.0,0.0,1,0.0,0.0,2000.1.0
672,2000,1.0,PRO229,PRINCIPIOS DE ECONOMIA,12.0,6.0,6.0,0.0,0.0,0.0,0.0,1,0.0,0.0,2000.1.0
673,2000,1.0,PRO230,ENGENHARIA DE METODOS,11.0,39.0,47.0,0.0,0.0,5.0,3.0,1,8.0,0.17,2000.1.0
674,2000,1.0,PRO302,ACOES EMPREENDEDORAS,11.0,1.0,8.0,0.0,0.0,1.0,6.0,1,7.0,0.88,2000.1.0
777,2000,2.0,PRO227,MICROECONOMIA,11.0,26.0,26.0,0.0,0.0,0.0,0.0,1,0.0,0.0,2000.2.0
778,2000,2.0,PRO229,PRINCIPIOS DE ECONOMIA,11.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,2000.2.0
779,2000,2.0,PRO231,ENGENHARIA DO TRABALHO,11.0,41.0,48.0,0.0,7.0,0.0,0.0,1,7.0,0.15,2000.2.0
780,2000,2.0,PRO234,ORGANIZACAO E AVALIACAO DO TRABALHO,11.0,14.0,19.0,0.0,5.0,0.0,0.0,1,5.0,0.26,2000.2.0
781,2000,2.0,PRO234,ORGANIZACAO E AVALIACAO DO TRABALHO,12.0,11.0,13.0,0.0,2.0,0.0,0.0,1,2.0,0.15,2000.2.0
891,2001,1.0,PRO101,INTRODUCAO A ENGENHARIA DE PRODUCAO,11.0,42.0,51.0,0.0,6.0,3.0,0.0,1,9.0,0.18,2001.1.0
892,2001,1.0,PRO102,INTRODUCAO A METODOLOGIA DA PESQUISA,11.0,43.0,51.0,0.0,1.0,7.0,0.0,1,8.0,0.16,2001.1.0
893,2001,1.0,PRO210,CONTROLE E GERENCIA DE QUALIDADE,11.0,29.0,30.0,0.0,1.0,0.0,0.0,1,1.0,0.03,2001.1.0
894,2001,1.0,PRO219,PROJETO DO PRODUTO,11.0,36.0,37.0,0.0,1.0,0.0,0.0,1,1.0,0.03,2001.1.0
895,2001,1.0,PRO224,ECONOMIA DA ENGENHARIA,11.0,28.0,29.0,0.0,0.0,1.0,0.0,1,1.0,0.03,2001.1.0
896,2001,1.0,PRO229,PRINCIPIOS DE ECONOMIA,11.0,20.0,20.0,0.0,0.0,0.0,0.0,1,0.0,0.0,2001.1.0
897,2001,1.0,PRO229,PRINCIPIOS DE ECONOMIA,12.0,15.0,15.0,0.0,0.0,0.0,0.0,1,0.0,0.0,2001.1.0
898,2001,1.0,PRO230,ENGENHARIA DE METODOS,11.0,53.0,56.0,0.0,3.0,0.0,0.0,1,3.0,0.05,2001.1.0
899,2001,1.0,PRO231,ENGENHARIA DO TRABALHO,11.0,11.0,13.0,0.0,2.0,0.0,0.0,1,2.0,0.15,2001.1.0
900,2001,1.0,PRO234,ORGANIZACAO E AVALIACAO DO TRABALHO,12.0,66.0,66.0,0.0,0.0,0.0,0.0,1,0.0,0.0,2001.1.0
1002,2001,2.0,PRO217,PLANEJAMENTO DAS INSTALACOES,11.0,29.0,30.0,0.0,0.0,0.0,1.0,1,1.0,0.03,2001.2.0
1003,2001,2.0,PRO222,CUSTOS INDUSTRIAIS E CONTABILIDADE GERENCIAL,11.0,44.0,46.0,0.0,0.0,0.0,2.0,1,2.0,0.04,2001.2.0
1004,2001,2.0,PRO227,MICROECONOMIA,11.0,51.0,54.0,0.0,0.0,1.0,2.0,1,3.0,0.06,2001.2.0
1005,2001,2.0,PRO231,ENGENHARIA DO TRABALHO,11.0,43.0,47.0,0.0,1.0,2.0,1.0,1,4.0,0.09,2001.2.0
1006,2001,2.0,PRO233,PSICOLOGIA SOCIAL DAS ORGANIZACOES,11.0,49.0,51.0,0.0,0.0,1.0,1.0,1,2.0,0.04,2001.2.0
1007,2001,2.0,PRO234,ORGANIZACAO E AVALIACAO DO TRABALHO,11.0,38.0,47.0,0.0,6.0,1.0,2.0,1,9.0,0.19,2001.2.0
1008,2001,2.0,PRO315,LOGISTICA,11.0,24.0,26.0,0.0,0.0,2.0,0.0,1,2.0,0.08,2001.2.0
1128,2002,1.0,PRO101,INTRODUCAO A ENGENHARIA DE PRODUCAO,11.0,56.0,59.0,0.0,0.0,3.0,0.0,1,3.0,0.05,2002.1.0
1129,2002,1.0,PRO102,INTRODUCAO A METODOLOGIA DA PESQUISA,21.0,56.0,59.0,0.0,0.0,3.0,0.0,1,3.0,0.05,2002.1.0
1130,2002,1.0,PRO102,INTRODUCAO A METODOLOGIA DA PESQUISA,22.0,45.0,50.0,0.0,0.0,3.0,2.0,1,5.0,0.1,2002.1.0
1131,2002,1.0,PRO103,PROJETO EM ENGENHARIA DE PRODUCAO I,11.0,30.0,35.0,0.0,0.0,1.0,4.0,1,5.0,0.14,2002.1.0
1132,2002,1.0,PRO210,CONTROLE E GERENCIA DE QUALIDADE,11.0,33.0,43.0,0.0,8.0,1.0,1.0,1,10.0,0.23,2002.1.0
1133,2002,1.0,PRO215,PLANEJAMENTO E CONTROLE DA PRODUCAO I,11.0,37.0,43.0,0.0,0.0,1.0,5.0,1,6.0,0.14,2002.1.0
1134,2002,1.0,PRO224,ECONOMIA DA ENGENHARIA,11.0,47.0,52.0,0.0,2.0,2.0,1.0,1,5.0,0.1,2002.1.0
1135,2002,1.0,PRO229,PRINCIPIOS DE ECONOMIA,11.0,37.0,41.0,0.0,2.0,1.0,1.0,1,4.0,0.1,2002.1.0
1136,2002,1.0,PRO230,ENGENHARIA DE METODOS,11.0,49.0,50.0,0.0,0.0,1.0,0.0,1,1.0,0.02,2002.1.0
1137,2002,1.0,PRO234,ORGANIZACAO E AVALIACAO DO TRABALHO,11.0,38.0,48.0,0.0,7.0,2.0,1.0,1,10.0,0.21,2002.1.0
1138,2002,1.0,PRO312,GERENCIA DE INFORMACAO,11.0,20.0,23.0,0.0,0.0,0.0,3.0,1,3.0,0.13,2002.1.0
1139,2002,1.0,PRO314,GERENCIA DE RECURSOS HUMANOS,12.0,43.0,46.0,0.0,0.0,1.0,2.0,1,3.0,0.07,2002.1.0
1140,2002,1.0,PRO318,PLANEJAMENTO ESTRATEGICO,11.0,15.0,18.0,0.0,1.0,0.0,2.0,1,3.0,0.17,2002.1.0
1141,2002,1.0,PRO323,ECONOMIA BRASILEIRA,11.0,3.0,5.0,0.0,0.0,0.0,2.0,1,2.0,0.4,2002.1.0
1142,2002,1.0,PRO325,ECONOMIA DE TECNOLOGIA,11.0,5.0,9.0,0.0,0.0,0.0,4.0,1,4.0,0.44,2002.1.0
1143,2002,1.0,PRO332,ETICA E ENGENHARIA DE PRODUCAO,11.0,21.0,24.0,0.0,0.0,0.0,3.0,1,3.0,0.12,2002.1.0
1265,2002,2.0,PRO100,ENGENHARIA AMBIENTAL,11.0,49.0,51.0,0.0,0.0,1.0,1.0,1,2.0,0.04,2002.2.0
