,ANO_SEMESTRE,DISCIPLINA,DESCRICAO,TAXA_DE_APROVACAO,Frequência da matéria,TAXA_REPROVACAO_POR_NOTA,TAXA_REPROVACAO_POR_FALTA,TAXA_DE_TRANCAMENTO,Tipo_de_materia,Escola
0,1998.1.0,COM146,CALCULO NUMERICO,0.7533333333333333,44,0.07,0.12666666666666668,0.05000000000000001,CANCELADA,
1,1998.2.0,COM400,CALCULO NUMERICO,0.6733333333333333,44,0.15666666666666665,0.14333333333333334,0.02666666666666667,CANCELADA,
2,1999.1.0,COM400,CALCULO NUMERICO,0.6,44,0.37333333333333335,0.0,0.030000000000000002,CANCELADA,
3,1999.2.0,COM400,CALCULO NUMERICO,0.7125,44,0.07125,0.17625000000000002,0.04,CANCELADA,
4,2000.1.0,COM400,CALCULO NUMERICO,0.7366666666666667,44,0.06333333333333334,0.14666666666666667,0.049999999999999996,CANCELADA,
5,2000.2.0,COM400,CALCULO NUMERICO,0.75,44,0.055,0.15833333333333335,0.04,CANCELADA,
6,2001.1.0,COM400,CALCULO NUMERICO,0.795,44,0.07833333333333334,0.06166666666666667,0.06666666666666667,CANCELADA,
7,2001.2.0,COM400,CALCULO NUMERICO,0.756,44,0.048,0.15,0.048,CANCELADA,
8,2002.1.0,COM400,CALCULO NUMERICO,0.775,44,0.053333333333333344,0.14166666666666666,0.03166666666666667,CANCELADA,
9,2002.2.0,CIC170,CALCULO NUMERICO,0.7442857142857141,44,0.10142857142857142,0.1142857142857143,0.038571428571428576,CANCELADA,
10,2003.1.0,CIC170,CALCULO NUMERICO,0.7083333333333334,44,0.09500000000000001,0.15333333333333332,0.041666666666666664,CANCELADA,
11,2003.2.0,CIC170,CALCULO NUMERICO,0.6916666666666665,44,0.15,0.11166666666666668,0.045000000000000005,CANCELADA,
12,2004.1.0,CIC170,CALCULO NUMERICO,0.8316666666666667,44,0.05166666666666667,0.05000000000000001,0.07,CANCELADA,
13,2004.2.0,CIC170,CALCULO NUMERICO,0.734,44,0.07,0.10800000000000001,0.08600000000000001,CANCELADA,
14,2005.1.0,CIC170,CALCULO NUMERICO,0.7250000000000001,44,0.16333333333333336,0.06833333333333334,0.043333333333333335,CANCELADA,
15,2005.2.0,CIC170,CALCULO NUMERICO,0.7527272727272727,44,0.03272727272727272,0.10818181818181817,0.10545454545454547,CANCELADA,
16,2006.1.0,CIC170,CALCULO NUMERICO,0.7330769230769232,44,0.08307692307692308,0.09384615384615384,0.08923076923076924,CANCELADA,
17,2006.2.0,CIC170,CALCULO NUMERICO,0.6633333333333334,44,0.10416666666666669,0.17416666666666666,0.05833333333333334,CANCELADA,
18,2007.1.0,CIC170,CALCULO NUMERICO,0.6649999999999999,44,0.08583333333333333,0.16666666666666666,0.085,CANCELADA,
19,2007.2.0,CIC170,CALCULO NUMERICO,0.6525,44,0.12916666666666668,0.155,0.06333333333333334,CANCELADA,
20,2008.1.0,CIC170,CALCULO NUMERICO,0.7041666666666666,44,0.11333333333333336,0.1141666666666667,0.06916666666666667,CANCELADA,
21,2008.2.0,CIC170,CALCULO NUMERICO,0.48500000000000004,44,0.21800000000000003,0.16499999999999998,0.13,CANCELADA,
